#,Module,คำถาม (ลูกค้าแจ้ง),คำตอบ (มาตรฐาน)
1,Admitล่วงหน้า,ออเดอร์ที่ทำไปไม่ขึ้นแบบต้องกดรีเฟรชหลายๆรอบหรือเปิดแล้วปิดใหม่ถึงจะขึ้นอะ,เนื่องจากบางครั้งปัญหาการแสดงผลของระบบอาจเกิดจากข้อมูลเก่าที่ถูกเก็บไว้ในแคชของเบราว์เซอร์ซึ่งการเคลียร์แคชช่วยให้โหลดข้อมูลล่าสุดจากระบบได้คะ
2,Admitล่วงหน้า,ไม่สามารถกดย้อนกลับได้แจ้งเตือนให้มีอาการส่งคำสั่งตลอด,กดส่วนนี้ได้เลยค่ะเนื่องจากมีการส่งออเดอร์แพทย์แล้ว
3,Admitล่วงหน้า,เรื่องการสั่งlabถ้าทำadmitล่วงหน้าสั่งlabแบบระหว่างรายการlabหรือสั่งlabล่วงหน้า,สามารถสั่งเป็นรายการlabเลยนะค่ะ หากต้องการสั่งวันนี้หากยังไม่ตรวจlabวันนี้จึงจะใช้เป็นlabล่วงหน้า
4,Admitล่วงหน้า,ถ้ามีการแก้ไขorderกดส่งคำสั่งแพทย์ซ้ำระบบจะsaveอันใหม่ล่าสุดหรือsaveทั้งอันใหม่อันเก่า,saveอันใหม่ล่าสุดค่ะ
5,Admitล่วงหน้า,พยาบาลสามารถใช้โหมดห้องทำงานแพทย์แล้วดึงใบorderล่วงหน้าเองหรือต้อกดตรงรคส.preorderไว้,พยาบาลสามารถดึงข้อมูลเช่นเดียวกันได้ค่ะ หากผู้ป่วยเกิดANแล้ว
6,Admitล่วงหน้า,"กรณีคนไข้ทำ หัตถการที่ ER และPlan DC หลังทำหัตถการER บันทึกสัญญาณชีพในใบrecord (กระดาษ)แต่หลังทำหัตถการ แพทย์ให้ Admit
เลยจำเป็นต้องลอก ใบRecord ในกระดาษ มาลงใน Paperless",เบื้องต้นถ้าผู้ป่วยยังไม่เข้า Admit ยังเป็น OPD หน้าเก็บ V/S ยังไม่มีแต่ถ้ามีความประสงค์ต้องการแนบเอกสารสามารถแนบที่หมวดเอกสารอื่นๆได้ทั้งนี้ต้องสอบถามกับเจ้าหน้าที่เวชระเบียนก่อนค่ะว่าเข้าไว้ตรงนี้ได้หรือไม่ แต่ถ้า Admit จะมีหน้ารองรับ V/S สามารถคีร์ข้อมูลลงไปหรือสแกนอัปโหลดเข้าไปได้โดยตั้งชื่อเอกสารตามหัวเรื่องได้ค่ะโดยไม่ต้องคีร์ซ้ำซ้อน
7,Admitล่วงหน้า,อยากจะเจ้าหน้าที่ neo remote สอน admit ได้ไหม,รับทราบค่ะ แจ้งทีมอบรมติดต่อไปนะค่ะ
8,Admitล่วงหน้า,"เมนู Admit ล่วงหน้า อยากให้สามารถเลือก visit ที่ต้องการดึงมาทำ Admit ได้
อยากให้เพิ่มหน้าเลือก visit ในหน้า Admit ล่วงหน้าของแพทย์ บางเคสมาตรวจ 2 visit ในวันเดียวกัน ปัญหาเคสที่เจอคือ แพทย์ต้องการลงข้อมูล บันทึกประวัติผู้ป่วย Admission Note (1) ในช่อง Chief complaint มีการดึงข้อมูล visit ล่าสุดมา ถ้าคนไข้มารับบริการล่าสุดเป็นคลินิกหรือห้องตรวจอื่น ข้อมูล Chief complaint หมอต้องมาพิมพ์เพิ่มใหม่เอง
แพทย์มองว่า การที่ระบบดึงข้อมูล Chief complaint ค่อนข้าวสะดวกเลย เพราะบางคนประวัติยาวมาก พิมพ์หรือสรุปใหม่ก็ใช้เวลา ถ้าเลือก visit ให้ดึงได้เลยก็น่าจะช่วยได้เยอะ มาครั้งที่ 1 9.00 ไม่ได้ admit
มาครั้งที่ 2 13.00 ถ้าอยู่แผนกเดียวกันก็ใช้ visit 13.00 ได้ แต่ถ้าครั้งที่ 2 มาแผนกแพทย์แผนไทยหรือแผนกกายภาพ ข้อมูล Chief complaint ไม่ต่อเนื่องกัน แพทย์จะต้องไปคัดลอก Chief complaint มาเสริมอีกที","ส่วนนี้เป็นเพียงการลงข้อมูล hn นะค่ะ เนื่องจากหน้าที่ต้องเลือก visit มีอยู่ที่หน้าลงทะเบียนผู้ป่วยแล้ว ในหน้าการทำงาน หน้า Admit ล่วงหน้า ไม่มีเลือก visit เนื่องจากโดยปกติหากมีเขียน และลงทะเบียนเพื่อเกิด AN หน้าลงทะเบียนจะแสดง ข้อความ อีกครั้ง จะนำเข้า admit ล่วงหน้าหรือไม่ ส่วนนี้ทางทีมแนะนำบันทึก Admission Note (1) หลังจากเกิด AN มีการเลือก visit แล้ว
เนื่องจากการเพิ่ม เลือก visit หน้า admitล่วงหน้าจะต้องเป็นการเขียนเพิ่มดึงข้อมูลใหม่ซึ่งจะต้องตรวจสอบกับโครงสร้างหน้าการทำงานส่วนนี้"
9,ALL,ตอนนี้ห้องฉุกเฉินใช้งาน neo hos ไม่ได้,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
10,ALL,ขออนุญาต notebook เข้าใช้งานไม่ได้,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
11,ALL,วันนี้ Login มันเปลี่ยนเองได้ ทำงานอยู่ แค่เปลี่ยนเพจในรายเดิม ก็ไปเป็นLogin ชื่ออื่น,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
12,ALL,"ตอนนี้ทุกคนสามารถเข้าทำงานหรือแก้ไขของใครก็ได้หมดเลย ซึ่งมันไม่ปลอดภัยสำหรับข้อมูล ต้องจำกัด สิทธิการเข้าถึง เช่น แพทย์เข้าแค่ห้องทำงานแทพย์ IPD,ER ,OPD โปรแกรม Hosxp แยกจะไม่สามารถเข้าไปทำงานของแผนกอื่นๆได้",ส่วนนี้ได้อยู่ในแผนพัฒนาระบบเรียบร้อยแล้วค่ะเมื่อแล้วเสร็จทีมจะแจ้งอัปเดตให้ทราบอีกครั้งค่ะ
13,ALL,โปรแกรมหลุด ค้างบ่อย เกิดจากอะไร เน็ตที่บ้านก็ค้าง,"สาเหตุที่เคยพบเบื้องต้นสเปกเครื่องไม่เพียงพอ: RAM น้อย, CPU ใช้งานสูง
เปิดโปรแกรมหลายตัวพร้อมกัน: ใช้ทรัพยากรเกิน
อินเทอร์เน็ตไม่เสถียร: การเชื่อม API
มีไวรัสหรือ malware: ทำให้เครื่องช้าหรือโปรแกรมทำงานผิดพลาด
ระบบปฏิบัติการไม่ได้อัปเดต: เช่น Windows ยังเป็นเวอร์ชันเก่า"
14,ALL,"ตรวจสอบความผิดพลาดคร้า การทำ d/c คนไข้พอทำ discharge summary ชื่อคนไข้ที่กลับบ้านหายไปทั้งหมดเรียกกลับมาไม่ได้คร้าและค้นหาไม่เจอในคนไข้ d/c คร้า
ขออนุญาตสรุปปัญหาที่เจอวันนี้
1. บันทึกใบ summary แล้วชื่อผู้ป่วยหายไปจากหน้าหลัก ต้องเข้า hosxp เพื่อไปยกเลิกจำหน่าย ทั้งๆที่ยังไม่ได้จำหน่ายคนไข้ออกจากนีโอ
2. ผู้ป่วย จำหน่ายแล้ว ไม่ขึ้นในหน้าผู้ป่วยจำหน่ายแล้ว (ที่ต้องคีย์ AN/HN ) แต่ต้องเลือกผู้ป่วยยังไม่ได้จำหน่าย ถึงจะเจอชื่อผู้ป่วย
ก่อนหน้าที่อัพระบบเมื่อวาน ถ้าใส่ตรงนี้ คนไข้จะยังอยู่ คนไข้จะออกเมื่อเราเข้าหน้า D/C แล้ว คือต่อจากนี้ไม่ต้องเข้า หน้า D/C เหมือนเมิ่อก่อนที่จะอัพระบบแล้วถูก แค่บันทึกใบ summary ก็พอ ถูก ของเราพยาบาลในตึกจะบันทึกให้ขึ้นในเวชระเบียนก่อน แล้วแพทย์จะเข้าไปลงแก้ไขอีกครั้งในเรื่องชื่อโรคและหัตถการ ที่ทำมาตลอดก่อนอัพระบบเมื่อวาน ก่อนหน้านี้ทำมาตลอดเพื่อให้มีเอกสารขึ้นให้ครบในเวชระเบียนก่อนชาร์ทคนไข้ออกจากตึก แต่ไม่เคยมีปัญหาหาคนไข้ไม่เจออย่างวันนี้เลย ก่อนหน้านี้พอบันทึกปุบ ชื่อคนไข้ก็ยังคงอยู่ ไม่ได้ D/C เลย เราเลยต้องไปกด D/C อีกหน้าหนึ่งอีกครั้ง",แนะนำให้ลงทีหลัง เพราะจะได้ไม่ต้องเลือกสถานะการจำหน่ายหลายรอบ เพราะถ้า discharge ไปก่อนวันที่ เวลา และสถานะจะถูกดึงมาให้อยู่แล้ว
15,ALL,เคสนี้ใน hosxp ไม่มี popup นี้แล้ว แต่ใน neo มี,แก้ไขเรียบร้อย
16,ALL,ถ้าจะเพิ่มจำนวนเลขเตียงของ wardได้ เพราะตอนนี้มีเตียงแทรก,ส่วนนี้สามารถเพิ่มได้ค่ะ จะต้องเป็นเจ้าหน้าที่ไอทีของรพ.เพิ่มให้นะคะ
17,ALL,ขออนุญาต นีโอมีการอัฟเดฟอะไร มีข้อมูลเด้งมาทุกหน่วยงาน ซึ่งคนไข้ไม่ได้ admit ที่หน่วยงาน,แจ้งเตือนส่วนนี้จะแสดงทุกหน่วยงาน จะยังไม่สามารถปิดแจ้งเตือนได้
18,ALL,ขึ้นรายการผู้ป่วยเกินวงเงิน แต่ไม่ใช่คนไข้ที่ตึก,แจ้งเตือนส่วนนี้จะแสดงทุกหน่วยงาน จะยังไม่สามารถปิดแจ้งเตือนได้
19,ALL,ทุกอย่างแปลไทย อ่านไทย,เจ้าหน้าที่ไม่ต้องกดแปลภาษานะ จะต้องเป็นภาษาอังกฤษ
20,ALL,สอบถามทีมพัฒนาหน่อย neohos ได้ใช้ รีเวิสพอกซี่หรือป่าวโอเค ไม่ใช่พอดี ผมรีเวิส ssl ไม่ได้,ระบบได้ใช้ Apache Tomcat เพื่อรันแอปพลิเคชัน Java โดยเฉพาะค่ะ
21,ALL,คำดูแปลกๆ,จะต้องไม่กดแปลภาษา นะ
22,ALL,พอดีมีเคสหญิงหลังคลอดและทารก Refer ทำใบ Refer มาแล้วแต่ใบประเมินระหว่างส่งต่อไม่มี พอกดปริ้นเจอหน้าจอว่างเปล่า,ขออภัย ทาง Neo ไม่สามารถรีโมทตรวจสอบที่โปรแกรม Hosxpได้
